,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
1000,11,866370.278847368,1443974.8942606556,866419.6685846759,1443955.6688201951,866394.9886079527,1443965.275743595,1510.6923514413363,866350.0,1443970.0,866450.0,1443970.0,-8440.3642578125,-8444.423828125,20.861098675250496,33.5466461835435,4.0595703125,,11_1510.6923514413363
1089,11,866439.7311358952,1444097.16411226,866477.0107856912,1444070.9280707783,866458.3605062364,1444084.0534490503,1645.7454763296057,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,25.03851710607692,23.007939714478137,2.814453125,,11_1645.7454763296057
1090,11,866440.0390442513,1444097.6121818016,866478.8173173255,1444073.977253491,866459.4235211309,1444085.797557656,1647.788003072212,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,24.503776099055905,21.552832542857868,2.814453125,,11_1647.788003072212
1091,11,866441.4321213267,1444099.6393934514,866478.5416802979,1444073.512015217,866459.9765262365,1444086.5830086642,1648.748600767996,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,22.08988103154879,21.743820623812656,2.814453125,,11_1648.748600767996
1092,11,866441.7400337898,1444100.0874689699,866480.3482090398,1444076.5611930478,866461.0393792136,1444088.3272207163,1650.7911315838037,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,21.557734895393814,20.718159719308915,2.814453125,,11_1650.7911315838037
1093,11,866443.133106789,1444102.114674688,866480.0725749633,1444076.095959755,866461.5925469764,1444089.1125678413,1651.7517379967578,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,19.15826411459965,20.838977756250042,2.814453125,,11_1651.7517379967578
1094,11,866443.4410233843,1444102.5627562194,866481.8791007753,1444079.1451326404,866462.6552365851,1444090.8568842653,1653.7942729392812,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,18.630019992163867,20.297793961909832,2.814453125,,11_1653.7942729392812
1095,11,866444.8340922833,1444104.589955971,866481.6034696873,1444078.6799043915,866463.2085684655,1444091.6421265749,1654.7548881872767,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,16.252878499209224,20.341412630217466,2.814453125,,11_1654.7548881872767
1096,11,866445.1420130371,1444105.038043554,866483.4099925321,1444081.729072269,866464.2710932363,1444093.3865483103,1656.797427312822,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,15.73086704620446,20.317467462196802,2.814453125,,11_1656.797427312822
1097,11,866446.5350778119,1444107.065237304,866483.1343644675,1444081.263849123,866464.8245907133,1444094.1716848572,1657.7580515131997,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,13.390809227685235,20.2811232179128,2.814453125,,11_1657.7580515131997
1098,11,866446.8430027466,1444107.513330971,866484.9408843104,1444084.3130119338,866465.8869491562,1444095.9162128558,1659.8005948785174,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,12.879578219049518,20.775930207098927,2.814453125,,11_1659.8005948785174
1099,11,866448.23606337,1444109.54051868,866484.6652593127,1444083.8477939644,866466.440613731,1444096.7012426846,1660.7612281558595,866450.0,1444120.0,866500.0,1444070.0,-8430.5048828125,-8433.3193359375,10.60717784900177,20.661937702634287,2.814453125,,11_1660.7612281558595
1125,11,866470.3488790443,1444141.7191815416,866504.5668983406,1444117.4390870968,866487.4489880604,1444129.5854499445,1699.8038237958733,866450.0,1444120.0,866550.0,1444120.0,-8430.5048828125,-8420.4677734375,29.762387760320355,45.5052194950391,-10.037109375,0.8372896634615384,11_1699.8038237958733
1138,11,866480.86281076,1444157.0190994272,866515.5587252124,1444135.9918142362,866498.2038973788,1444146.509620729,1719.8670197883325,866450.0,1444170.0,866550.0,1444120.0,-8417.564453125,-8420.4677734375,33.48158998154093,37.97287889483835,2.9033203125,-0.0829326923076923,11_1719.8670197883325
1149,11,866490.7607158044,1444171.4225726957,866522.9376538823,1444148.4464545604,866506.8414738519,1444159.9400197035,1735.845569257537,866450.0,1444170.0,866550.0,1444170.0,-8417.564453125,-8411.626953125,40.785532557053294,34.59661686366307,-5.9375,0.18306790865384615,11_1735.845569257537
1156,11,866496.1717345665,1444179.296710076,866529.3367577047,1444159.2472821698,866512.7464018087,1444169.2767382956,1746.8991190579115,866500.0,1444220.0,866550.0,1444170.0,-8403.01953125,-8411.626953125,40.88292341385794,23.293572566047676,8.607421875,-0.10201322115384616,11_1746.8991190579115
1254,11,866590.8824621029,1444292.6790242223,866602.9330907809,1444283.4680056167,866597.3189813114,1444287.759206363,1893.5325693391578,866600.0,1444270.0,866600.0,1444270.0,-8394.291015625,-8394.291015625,24.443151126249592,13.783693148782527,0.0,0.34803185096153844,11_1893.5325693391578
1256,11,866593.9485780966,1444293.9410891223,866604.6253770123,1444286.324357437,866599.7105989981,1444289.830515577,1896.6989785140374,866600.0,1444270.0,866600.0,1444270.0,-8394.291015625,-8394.291015625,24.694036839209907,16.966990252719242,0.0,0.0,11_1896.6989785140374
