,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
1000,25,865147.9807843963,1443770.9821956144,865187.7200607961,1443689.811404753,865167.8533266421,1443730.3908684275,1521.7437975181335,865100.0,1443770.0,865200.0,1443670.0,-8469.033203125,-8246.82421875,47.99083641184347,23.30855347588985,-222.208984375,,25_1521.7437975181335
1089,25,865259.6827245225,1443835.3797882209,865310.5565882652,1443764.9818105502,865285.1239425502,1443800.1748683099,1658.9483515586141,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,35.94877213218774,39.76135001018735,-236.3671875,,25_1658.9483515586141
1090,25,865259.7192933991,1443835.4068045104,865312.9792990823,1443766.8268058423,865286.3446036445,1443801.1228475762,1660.4938864810415,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,35.93262916014672,37.15644570730181,-236.3671875,,25_1660.4938864810415
1091,25,865262.0957872714,1443837.1625064143,865312.9434279182,1443766.7994884553,865287.5238975165,1443801.9750610366,1661.9488785150345,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,34.994414621518146,37.194526594622104,-236.3671875,,25_1661.9488785150345
1092,25,865262.1323562145,1443837.1895227528,865315.3661386636,1443768.644483693,865288.7445507911,1443802.9230507344,1663.4944136598424,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,34.981730724841356,34.66037760219994,-236.3671875,,25_1663.4944136598424
1093,25,865264.5088500209,1443838.945224608,865315.3302675772,1443768.6171663653,865289.9238524899,1443803.7752537606,1664.9494059260228,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,34.27689897837634,34.69729924835588,-236.3671875,,25_1664.9494059260228
1094,25,865264.5454190333,1443838.972240998,865317.7529782405,1443770.46216154,865291.1444979332,1443804.7232538974,1666.4949412887888,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,34.26793024889316,32.25033341916761,-236.3671875,,25_1666.4949412887888
1095,25,865266.9219127685,1443840.7279428004,865317.7171072465,1443770.4348442827,865292.3238074711,1443805.5754464823,1667.9499337931843,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,33.81130675443705,32.28582125458944,-236.3671875,,25_1667.9499337931843
1096,25,865266.9584818534,1443840.7549592438,865320.1398178155,1443772.2798393855,865293.5444450708,1443806.523457065,1669.495469368557,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,33.80624965301109,29.947089135923612,-236.3671875,,25_1669.495469368557
1097,25,865269.3349755189,1443842.5106609948,865320.103946906,1443772.2525221924,865294.7237624526,1443807.3756391956,1670.9504621076112,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,33.60810969480669,29.98079129749142,-236.3671875,,25_1670.9504621076112
1098,25,865269.371544671,1443842.5376774878,865322.5266573945,1443774.0975172338,865295.944392205,1443808.3236602382,1672.4959979013279,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,33.607081109548616,27.777224508605595,-236.3671875,,25_1672.4959979013279
1099,25,865271.7480382663,1443844.293379187,865322.4907865694,1443774.0702001052,865297.1237174382,1443809.1758319037,1673.9509908749242,865250.0,1443870.0,865350.0,1443770.0,-8453.826171875,-8217.458984375,33.67205847676326,27.808692030824346,-236.3671875,,25_1673.9509908749242
2044,25,866402.8229704095,1444679.2721540385,866476.7486606666,1444606.7330231504,866439.7913861986,1444642.997122418,3106.5200360684744,866400.0,1444720.0,866500.0,1444620.0,-8249.412109375,-8273.091796875,40.82556305298869,26.770085086233884,23.6796875,-0.4948167067307692,25_3106.5200360684744
