,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
0,14,864570.5839083097,1442705.277244449,864560.8235262228,1442707.1256274073,864566.7027592832,1442706.012241261,3.1413136854066854,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,25.307248217052543,16.819577567560923,0.0,,14_3.1413136854066854
1,14,864572.9283879098,1442699.9885069118,864562.0739926535,1442707.729930864,864565.9541385117,1442704.9625860811,4.430580553219777,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,30.433054854234122,17.214409522277155,0.0,,14_4.430580553219777
2,14,864573.0080134801,1442699.808885497,864555.7556121515,1442704.6764948943,864565.1273935635,1442702.0323313137,7.475231635245446,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,30.611268989908393,16.36877759522671,0.0,,14_7.475231635245446
3,14,864575.0936690929,1442695.1040097845,864556.9174912198,1442705.2379874063,864564.5439688415,1442700.9859078936,8.673307751475633,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,35.348303457891845,16.302413949851175,0.0,,14_8.673307751475633
4,14,864575.3892151274,1442694.4373094186,864550.5593469515,1442702.1653351018,864563.6435854714,1442698.093008555,11.703086092637674,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,36.028646859820924,17.843434115781015,0.0,,14_11.703086092637674
5,14,864577.3882107332,1442689.9279235846,864551.7153890391,1442702.7240068202,864563.1188336645,1442697.0401973685,12.879426117208757,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,40.67485546501433,17.36094755198551,0.0,,14_12.879426117208757
6,14,864577.7575830932,1442689.0946838902,864545.3431824044,1442699.6445587024,864562.1826667868,1442694.1638325942,15.904303426723505,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,41.54060643542993,20.881329951422213,0.0,,14_15.904303426723505
7,14,864579.7134659846,1442684.682552829,864546.4996634312,1442700.2034425437,864561.688238559,1442693.1057849026,17.072175076393506,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,46.15422120995846,20.10363258751265,0.0,,14_17.072175076393506
8,14,864580.1204803387,1442683.7643993536,864540.1205510766,1442697.1206571506,864560.7309038651,1442690.238715352,20.09485228774812,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,47.119657151082514,24.921232719287712,0.0,,14_20.09485228774812
9,14,864581.788835786,1442679.5276421094,864541.2782043272,1442697.6801074836,864560.255045535,1442689.1767482287,21.258559863226985,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,51.46398579448294,23.96345804969801,0.0,,14_21.258559863226985
10,14,864581.9136296369,1442679.7193669283,864536.2155113771,1442695.2334981426,864559.614428794,1442687.2897602185,23.25132516795938,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,51.39074972457255,28.34416590498833,0.0,,14_23.25132516795938
11,14,864566.0639044201,1442671.078079685,864550.3100953229,1442702.044881152,864558.1861508824,1442686.5631492515,24.85380489953812,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,51.49177907701363,17.95779641146098,0.0,,14_24.85380489953812
12,14,864567.3525637438,1442671.7705219698,864548.9247755642,1442701.375408147,864558.1563327278,1442686.5445887127,24.88892776880262,864550.0,1442720.0,864550.0,1442720.0,-8540.6904296875,-8540.6904296875,51.25616079606764,18.655603160398268,0.0,0.0,14_24.88892776880262
301,14,864182.7026377546,1442465.0844967368,864158.4671442333,1442512.6819010384,864170.5842791065,1442488.8844006069,459.96609494579167,864200.0,1442470.0,864200.0,1442470.0,-8407.0478515625,-8407.0478515625,17.982238819987096,59.55436830652557,0.0,9.287635216346153,14_459.96609494579167
330,14,864146.9780358485,1442445.8884031666,864119.2497119482,1442493.7295890746,864133.1303206914,1442469.7806195738,502.01154590551243,864200.0,1442470.0,864200.0,1442470.0,-8407.0478515625,-8407.0478515625,58.246869309386675,84.16473381468388,0.0,0.0,14_502.01154590551243
380,14,864083.4955129544,1442411.7769957746,864067.7075047835,1442426.6511273996,864075.6372892921,1442419.180352286,579.7174554370273,864200.0,1442420.0,864200.0,1442420.0,-8392.3388671875,-8392.3388671875,116.79432049651912,132.45958548284668,0.0,1.1314603365384615,14_579.7174554370273
