,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
0,13,865728.7129012232,1444178.9801413761,865726.8362464134,1444185.3643934948,865727.6817797627,1444182.487946506,3.1833920085784797,865750.0,1444220.0,865750.0,1444220.0,-8625.4052734375,-8625.4052734375,46.2143849450959,41.66754994241808,0.0,,13_3.1833920085784797
1,13,865729.4750722611,1444180.049931355,865723.2376013509,1444186.096435508,865727.3321357085,1444182.1272596426,3.6857325086327055,865750.0,1444220.0,865700.0,1444220.0,-8625.4052734375,-8623.08984375,44.91414747520586,41.10277121808193,-2.3154296875,,13_3.6857325086327055
2,13,865726.2512643758,1444175.524966225,865722.5767007277,1444186.2308769478,865724.3379104778,1444181.0995590133,6.851416212994111,865750.0,1444220.0,865700.0,1444220.0,-8625.4052734375,-8623.08984375,50.418558815533146,40.62094395093971,-2.3154296875,,13_6.851416212994111
3,13,865727.0757426404,1444176.682211176,865719.4823742297,1444186.860329689,865723.9796121935,1444180.8322511734,7.298440979327799,865750.0,1444220.0,865700.0,1444220.0,-8625.4052734375,-8623.08984375,49.009717445490224,38.44217285675211,-2.3154296875,,13_7.298440979327799
4,13,865723.7787720244,1444172.0545541935,865718.3664171853,1444187.0873394182,865721.0041741648,1444179.7609841945,10.460852148487824,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,53.518181700922185,37.690429909912524,0.0,,13_10.460852148487824
5,13,865724.6355121982,1444173.257082244,865715.4440400066,1444187.6818139597,865720.6393423959,1444179.528512553,10.893455065321403,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,52.83757017142233,35.81875934003273,0.0,,13_10.893455065321403
6,13,865721.3043935642,1444168.5814948026,865714.1701407196,1444187.9409525474,865717.6730804635,1444178.4354001887,14.054721345278853,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,55.65734328796078,35.05104009276381,0.0,,13_14.054721345278853
7,13,865722.1802481205,1444169.8108519686,865711.3340050285,1444188.5178837103,865717.3038871891,1444178.2213437816,14.481481019207605,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,54.87179591377821,33.46017507518126,0.0,,13_14.481481019207605
8,13,865718.8293920514,1444165.1075608896,865709.9797588238,1444188.7933665938,865714.3430621129,1444177.1151025034,17.64221746777887,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,58.032110736384,32.76354002135443,0.0,,13_17.64221746777887
9,13,865719.7178228484,1444166.3545701776,865707.1953519254,1444189.359775005,865713.9708156128,1444176.912476793,18.066038934204016,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,57.15439334563285,31.473742660841097,0.0,,13_18.066038934204016
10,13,865716.354115425,1444161.6332408246,865705.7924078623,1444189.6451640828,865711.0135866234,1444175.7974734604,21.22648759342316,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,60.61464895533337,30.90255737646075,0.0,,13_21.22648759342316
11,13,865717.2514334838,1444162.8927243517,865703.0424495561,1444190.2045649074,865710.6390975184,1444175.602645519,21.648625031365757,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,59.65612197598633,29.950366469563715,0.0,,13_21.648625031365757
15,13,865712.3122223484,1444155.9600041178,865694.7153781231,1444191.8984708167,865703.9779053406,1444172.9813842247,28.81052502331248,865700.0,1444220.0,865700.0,1444220.0,-8623.08984375,-8623.08984375,65.21281999536723,28.59411077168574,0.0,-0.17810997596153846,13_28.81052502331248
659,13,864980.1956951797,1444760.984818982,864987.1727998548,1444769.3789130284,864983.8200229517,1444765.3452162512,1023.3552194801866,865000.0,1444770.0,865000.0,1444770.0,-8102.43603515625,-8102.43603515625,21.7596869968642,12.842227711422426,0.0,2.00634765625,13_1023.3552194801866
