,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
0,4,867755.3923182983,1445639.4979651177,867761.0951898365,1445634.3352972593,867756.8833909156,1445638.148134138,0.5285023279468865,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,20.229872475155116,18.127437353874953,0.0,,4_0.5285023279468865
1,4,867759.1397748941,1445643.6197621115,867760.9566561105,1445634.3856183246,867760.0921343449,1445638.7794764475,3.798766462038799,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,25.32644166314565,18.082984480027996,0.0,,4_3.798766462038799
2,4,867758.1573442499,1445642.5391946458,867764.0713630711,1445633.2542304876,867760.4193354542,1445638.9878858163,4.186703352480697,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,23.969930339775043,19.330749713803748,0.0,,4_4.186703352480697
3,4,867762.0605422572,1445646.83229035,867765.083333865,1445632.8866416705,867763.6109085176,1445639.6796758142,7.452390419572849,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,29.41816590073142,19.83866159870033,0.0,,4_7.452390419572849
4,4,867761.0197453272,1445645.687526282,867767.92808107,1445631.8533141606,867763.9382370745,1445639.84313258,7.818262116245741,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,27.951454229797424,21.492257848836303,0.0,,4_7.818262116245741
5,4,867764.9844719913,1445650.0482968546,867769.1885143712,1445631.3954736884,867767.1227818065,1445640.560877068,11.082688911271672,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,33.57729209928034,22.317166136296045,0.0,,4_11.082688911271672
6,4,867763.9116099104,1445648.8682645883,867771.9168488425,1445630.4044320027,867767.4515809854,1445640.7034323027,11.441061475816056,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,32.045430105394345,24.26108959804643,0.0,,4_11.441061475816056
7,4,867767.909222628,1445653.2652062634,867773.2860892896,1445629.9070683639,867770.6323059477,1445641.4356111297,14.70496973438527,867750.0,1445620.0,867750.0,1445620.0,-8138.46142578125,-8138.46142578125,37.77981210759914,25.305966845165482,0.0,,4_14.70496973438527
8,4,867766.8162265636,1445652.0630287926,867775.9497338482,1445628.9395246771,867770.9624255218,1445641.5660044092,15.059908236852934,867750.0,1445620.0,867800.0,1445620.0,-8138.46142578125,-8153.8935546875,36.205293690235735,25.65795010175853,15.43212890625,,4_15.059908236852934
9,4,867770.834294506,1445656.482469003,867777.3801052098,1445628.419955812,867774.1407511437,1445642.3073748536,18.32355403481214,867750.0,1445620.0,867800.0,1445620.0,-8138.46142578125,-8153.8935546875,42.01235975417065,24.136182303668594,15.43212890625,,4_18.32355403481214
10,4,867769.72750572,1445655.26512103,867780.0026217696,1445627.4673514818,867774.471932875,1445642.4297922554,18.67663668718207,867750.0,1445620.0,867800.0,1445620.0,-8138.46142578125,-8153.8935546875,40.40796014632817,21.346111454874997,15.43212890625,,4_18.67663668718207
11,4,867773.7595224851,1445659.6999034365,867781.4721709307,1445626.9335516514,867777.648611693,1445643.1775290528,21.940131536368128,867750.0,1445620.0,867800.0,1445620.0,-8138.46142578125,-8153.8935546875,46.26658882589226,19.78268405762977,15.43212890625,,4_21.940131536368128
24,4,867788.2489863168,1445675.636746716,867808.7265769762,1445622.173741332,867798.4456153697,1445649.0153319694,43.57603359944894,867800.0,1445620.0,867800.0,1445620.0,-8153.8935546875,-8153.8935546875,56.86417068524434,8.993236186205545,0.0,1.1870868389423077,4_43.57603359944894
44,4,867813.755767146,1445703.6914472457,867846.3838435323,1445617.7883681476,867830.0297954609,1445660.8452455564,77.30699261158765,867800.0,1445620.0,867800.0,1445620.0,-8153.8935546875,-8153.8935546875,84.81438245868192,46.43654009806701,0.0,0.0,4_77.30699261158765
283,4,868190.3223561401,1445653.4278754573,868179.2005802814,1445578.5046138712,868184.7609579237,1445615.9628070502,436.8357167523953,868200.0,1445670.0,868200.0,1445570.0,-8361.6474609375,-8364.6904296875,19.190938031693452,22.47096610578747,3.04296875,2.491962139423077,4_436.8357167523953
289,4,868199.2110535254,1445651.9948509228,868188.1386897172,1445577.4216875401,868193.674355158,1445614.704790814,445.8385029653313,868200.0,1445670.0,868200.0,1445570.0,-8361.6474609375,-8364.6904296875,18.022425747673605,13.991859332094855,3.04296875,-1.0777493990384615,4_445.8385029653313
306,4,868221.968412366,1445648.325938354,868214.0012273939,1445574.288225901,868217.9831961538,1445611.2919931128,470.38887987000237,868200.0,1445670.0,868200.0,1445570.0,-8361.6474609375,-8364.6904296875,30.860591214630396,14.643198076695874,3.04296875,3.04296875,4_470.38887987000237
945,4,869134.3317458311,1445386.51460758,869129.9583884797,1445373.0870598664,869132.1445069764,1445379.799113802,1436.2910631082243,869150.0,1445370.0,869150.0,1445370.0,-8489.4033203125,-8489.4033203125,22.764587679572205,20.277971568946803,0.0,-0.015174278846153846,4_1436.2910631082243
954,4,869146.4465109353,1445378.9385261638,869141.0286481292,1445372.110705843,869143.9562315091,1445375.8001704912,1448.7867369167434,869150.0,1445370.0,869150.0,1445370.0,-8489.4033203125,-8489.4033203125,9.618967434912541,9.21630259622838,0.0,0.1640625,4_1448.7867369167434
