,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
0,27,863824.5242179527,1443081.6817340122,863847.2387139221,1443082.2223679067,863833.4181898291,1443081.893421855,4.765544733382007,863900.0,1443080.0,863900.0,1443080.0,-8327.7216796875,-8327.7216796875,75.4945157275223,52.808069721466396,0.0,,27_4.765544733382007
1,27,863825.1578463389,1443080.5734127376,863855.0615913137,1443087.409768455,863833.2946996914,1443082.433595266,5.3196540438686295,863900.0,1443080.0,863900.0,1443090.0,-8327.7216796875,-8325.3544921875,74.84435026636778,45.01299673111161,-2.3671875,,27_5.3196540438686295
2,27,863822.2485518218,1443085.662251997,863847.1568876954,1443082.1681084072,863833.5256985746,1443084.0802928393,6.982474954907459,863900.0,1443090.0,863900.0,1443080.0,-8325.3544921875,-8327.7216796875,77.8723555027342,52.88757143317389,2.3671875,,27_6.982474954907459
3,27,863819.2819624903,1443090.8513094026,863847.0801573,1443082.117227986,863834.1821876975,1443086.1697183505,9.172606671333988,863900.0,1443090.0,863900.0,1443080.0,-8325.3544921875,-8327.7216796875,80.72252663982782,52.96217901236955,2.3671875,,27_9.172606671333988
4,27,863819.4482954339,1443090.5603654613,863851.8072508354,1443085.251794255,863834.4974626801,1443088.0915102423,11.120087708479286,863900.0,1443090.0,863900.0,1443090.0,-8325.3544921875,-8325.3544921875,80.55365365988186,48.42609348112494,0.0,,27_11.120087708479286
5,27,863816.5026438896,1443095.7127991996,863851.7847531575,1443085.2368758994,863835.1191232548,1443090.1852155603,13.304135287741039,863900.0,1443100.0,863900.0,1443090.0,-8318.55859375,-8325.3544921875,83.60734757259374,48.44994715455185,6.7958984375,,27_13.304135287741039
6,27,863816.650216076,1443095.454670938,863856.4753856373,1443088.3472646065,863835.4604354375,1443092.0977016229,15.2468388023772,863900.0,1443100.0,863900.0,1443090.0,-8318.55859375,-8325.3544921875,83.47362755056295,43.55598224935977,6.7958984375,,27_15.2468388023772
7,27,863813.7177473299,1443100.5840457731,863856.4848805232,1443088.3535607269,863836.0601061368,1443094.1946091922,17.42780792227405,863900.0,1443100.0,863900.0,1443090.0,-8318.55859375,-8325.3544921875,86.28422935450378,43.5462556985395,6.7958984375,,27_17.42780792227405
8,27,863813.8534762724,1443100.3466333118,863861.1516443249,1443091.4481219589,863836.4188184272,1443096.101269028,19.367917773913664,863900.0,1443100.0,863900.0,1443090.0,-8318.55859375,-8325.3544921875,86.14722111012985,38.87533660134811,6.7958984375,,27_19.367917773913664
9,27,863810.9300600934,1443105.460173704,863861.1823362925,1443091.468474001,863837.0033369734,1443098.200612785,21.547116282867094,863900.0,1443110.0,863900.0,1443090.0,-8316.4208984375,-8325.3544921875,89.18556059005395,38.84542999636989,8.93359375,,27_21.547116282867094
10,27,863811.0576026413,1443105.2370806066,863865.8322723808,1443094.5518766672,863837.374503772,1443100.1032941872,23.485662467653107,863900.0,1443110.0,863900.0,1443090.0,-8316.4208984375,-8325.3544921875,89.06983467517239,34.469598080795016,8.93359375,,27_23.485662467653107
11,27,863808.1407833068,1443110.339082022,863865.878074993,1443094.5822486754,863837.9479453537,1443102.2045389703,25.663749905248498,863900.0,1443110.0,863900.0,1443090.0,-8316.4208984375,-8325.3544921875,91.85984252167604,34.428226342704846,8.93359375,,27_25.663749905248498
756,27,864823.6358448414,1443594.3899969049,864864.7320322789,1443520.2493470293,864844.1969943949,1443557.2961182476,1153.847114680276,864820.0,1443600.0,864870.0,1443520.0,-8340.3408203125,-8332.8525390625,6.685170337227802,5.273865551142658,-7.48828125,1.2099609375,27_1153.847114680276
2056,27,866416.0990366549,1444691.4803146455,866488.8840678075,1444620.07560982,866452.4970359299,1444655.772582529,3124.5393399294294,866410.0,1444690.0,866490.0,1444620.0,-8275.4892578125,-8276.078125,6.276111819242159,1.11849072558308,0.5888671875,-1.0437199519230769,27_3124.5393399294294
3495,27,868027.1841030446,1446050.5874649256,868050.9561604576,1446064.0136402235,868040.1952299142,1446057.9359946358,5336.9995094106025,868010.0,1446030.0,868000.0,1446060.0,-7051.70654296875,-7048.57080078125,26.816731894640732,51.11398630924624,-3.1357421875,0.06479116586538461,27_5336.9995094106025
