,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
1000,19,864915.7790781966,1439745.6329923526,864949.8344245753,1439793.6127063183,864932.7930833653,1439769.6035928077,1512.918303398488,864900.0,1439720.0,864950.0,1439820.0,-8662.9892578125,-8578.2763671875,30.10032567403565,26.387813154321776,-84.712890625,,19_1512.918303398488
1089,19,864804.7712388927,1439819.6135829936,864833.5273711628,1439864.8739445228,864819.1479463861,1439842.241625341,1647.8030619860237,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,4.786861046021558,17.251780938904886,-31.7216796875,,19_1647.8030619860237
1090,19,864803.399987036,1439820.527446581,864834.6809785297,1439864.1671302158,864819.026924779,1439842.3283738126,1647.9519630495672,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,3.4406557138020792,16.39191229618727,-31.7216796875,,19_1647.9519630495672
1091,19,864802.2739237676,1439821.2779055238,864830.9684041741,1439866.4418215414,864816.6198008129,1439843.8577179788,1650.8038289943402,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,2.608404076944454,19.361360324735536,-31.7216796875,,19_1650.8038289943402
1092,19,864800.9026740292,1439822.1917676996,864832.1220131762,1439865.7350062323,864816.4987883187,1439843.9444807053,1650.952730956951,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,2.3703725554950865,18.379678580168974,-31.7216796875,,19_1650.952730956951
1093,19,864799.7766086408,1439822.9422280549,864828.4094371893,1439868.0096985574,864814.0916552217,1439845.4738105854,1653.8045969477125,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,2.9506964645955813,21.682105578406038,-31.7216796875,,19_1653.8045969477125
1094,19,864798.4053610613,1439823.856088792,864829.5630477902,1439867.3028822688,864813.9706518756,1439845.5605876304,1653.9534998196857,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,4.172804107108012,20.614156778330496,-31.7216796875,,19_1653.9534998196857
1095,19,864797.279293514,1439824.6065505862,864825.850470202,1439869.577575575,864811.5635096097,1439847.089903162,1656.8053658551084,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,5.3500048678590995,24.153224046845967,-31.7216796875,,19_1656.8053658551084
1096,19,864795.9080480436,1439825.5204099177,864827.004082475,1439868.8707582622,864811.4425154554,1439847.1766945843,1656.9542696372387,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,6.871607997605537,23.02362720598386,-31.7216796875,,19_1656.9542696372387
1097,19,864794.7819783832,1439826.27087312,864823.2915032122,1439871.1454525944,864809.035363975,1439848.7059957099,1659.806135724979,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,8.15791635659935,26.73304812981256,-31.7216796875,,19_1659.806135724979
1098,19,864793.4107350539,1439827.1847310246,864824.4451171384,1439870.4386342685,864808.9143790525,1439848.7928015708,1659.955040422606,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,9.748783125318212,25.558647031668176,-31.7216796875,,19_1659.955040422606
1099,19,864792.284663254,1439827.935195653,864820.7325362257,1439872.7133296116,864806.5072183231,1439850.3220882248,1662.8069065567684,864800.0,1439820.0,864850.0,1439870.0,-8620.708984375,-8588.9873046875,11.067689512941417,29.392968433985406,-31.7216796875,,19_1662.8069065567684
