,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
108,1,428405.1487323608,6883417.420851728,428346.1963229283,6883428.447972184,428375.80508236954,6883422.909617432,167.87324722459337,428375.63146222476,6883455.573819046,428375.63146222476,6883455.573819046,1424.1409912109375,1424.1409912109375,48.2381400081877,40.0279776328404,0.0,0.0,1_167.87324722459337
258,1,428397.5059560444,6883191.722765328,428266.44853485614,6883211.27329651,428331.862054815,6883201.515214518,393.6987822592248,428375.63146222476,6883155.573819046,428275.63146222476,6883255.573819046,1424.6219482421875,1424.553466796875,42.25209813959704,45.24226400196404,0.0684814453125,-0.010000375600961538,1_393.6987822592248
267,1,428397.0706556804,6883178.867952482,428262.8520798023,6883195.792339504,428330.0044604427,6883187.324712188,408.01095804333244,428375.63146222476,6883155.573819046,428275.63146222476,6883155.573819046,1424.6219482421875,1424.711181640625,31.658421763546315,42.20002373125203,-0.0892333984375,0.007821890024038462,1_408.01095804333244
3886,1,427916.84146666597,6877756.115152294,427903.4962839222,6877759.879924965,427910.27377873333,6877757.96794461,5873.677275241525,427875.63146222476,6877755.573819046,427875.63146222476,6877755.573819046,1414.644287109375,1414.644287109375,41.213559755614575,28.195581859911115,0.0,-0.04644305889423077,1_5873.677275241525
