,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
0,10,867460.6079369772,1444113.8383174462,867469.5014291791,1444121.54176507,867466.7899627289,1444119.1931218926,1.4366224973862762,867500.0,1444120.0,867500.0,1444120.0,-8563.0029296875,-8563.0029296875,39.871054175782895,30.537515643035164,0.0,,10_1.4366224973862762
1,10,867460.9968413063,1444113.9493959798,867467.5799518158,1444128.5848367233,867463.9334472109,1444120.4779999948,4.568809056561312,867500.0,1444120.0,867500.0,1444120.0,-8563.0029296875,-8563.0029296875,39.469687066066534,33.53742604662798,0.0,,10_4.568809056561312
2,10,867455.6896476842,1444112.4335597188,867467.9394541284,1444127.267100384,867462.981854836,1444121.2638422067,5.802938721579916,867450.0,1444070.0,867500.0,1444120.0,-8554.0185546875,-8563.0029296875,42.813304955088405,32.87383989705265,8.984375,,10_5.802938721579916
3,10,867455.067148596,1444112.2557620432,867465.9974275851,1444134.3854939486,867460.1960224673,1444122.6398157221,8.910053959455423,867450.0,1444070.0,867500.0,1444120.0,-8554.0185546875,-8563.0029296875,42.55849410803872,36.920419377053946,8.984375,,10_8.910053959455423
4,10,867450.0588998052,1444110.825310158,867466.3528104427,1444133.082857249,867459.2271090669,1444123.3491206737,10.110848151601397,867450.0,1444070.0,867500.0,1444120.0,-8554.0185546875,-8563.0029296875,40.825352646245285,36.10117060298436,8.984375,,10_10.110848151601397
5,10,867449.1847553344,1444110.575637736,867464.4047749274,1444140.2232763767,867456.4690595035,1444124.7650030279,13.21109979217219,867450.0,1444070.0,867500.0,1444120.0,-8554.0185546875,-8563.0029296875,40.583826846899775,40.938990649222916,8.984375,,10_13.21109979217219
6,10,867444.310552333,1444109.1834718985,867464.7601261279,1444138.9207557149,867455.4890282039,1444125.4389456282,14.400494586541246,867450.0,1444070.0,867500.0,1444120.0,-8554.0185546875,-8563.0029296875,39.59437188262588,39.99804629411627,8.984375,,10_14.400494586541246
7,10,867443.3204709999,1444108.9006856857,867462.8093684836,1444146.0711526591,867452.7457907981,1444126.8772561185,17.49792715736005,867450.0,1444070.0,867500.0,1444170.0,-8554.0185546875,-8559.7333984375,39.469981688359326,44.22366795790155,5.71484375,,10_17.49792715736005
8,10,867438.522130335,1444107.5301875863,867463.1651244292,1444144.7671484258,867451.7582889732,1444127.5307735133,18.682091351799098,867450.0,1444070.0,867500.0,1444120.0,-8554.0185546875,-8563.0029296875,39.24610136448811,44.38715692027618,8.984375,,10_18.682091351799098
9,10,867437.4649952723,1444107.2282495424,867461.2128456004,1444151.92312119,867449.0242505023,1444128.98345777,21.778098120208732,867450.0,1444070.0,867500.0,1444170.0,-8554.0185546875,-8559.7333984375,39.281915782135194,42.792720104347,5.71484375,,10_21.778098120208732
10,10,867433.4264948097,1444106.9744315997,867461.5690056302,1444150.6176358082,867448.0314296236,1444129.6236599006,22.959432986100413,867400.0,1444120.0,867500.0,1444170.0,-8539.123046875,-8559.7333984375,35.87472630434998,43.042041888307,20.6103515625,,10_22.959432986100413
