,Object,X1,Y1,X2,Y2,MidX,MidY,Length,Z1x,Z1y,Z2x,Z2y,Z1,Z2,Interp_distance1,Interp_distance2,Zdiff,Zdiffsmooth,UniqueID
0,26,865502.4898147301,1442975.6321090285,865493.4090342093,1442980.2155088403,865499.8425275456,1442976.96829104,1.1710688945977727,865500.0,1442980.0,865500.0,1442980.0,-8401.5703125,-8401.5703125,5.02768822910686,6.5944881616449065,0.0,,26_1.1710688945977727
1,26,865501.551864946,1442969.068646175,865493.7189317803,1442980.2046977298,865497.2687501806,1442975.1579342915,4.317768988613332,865510.0,1442970.0,865500.0,1442980.0,-8397.7216796875,-8401.5703125,8.499317963067645,6.284402846805743,3.8486328125,,26_4.317768988613332
2,26,865501.7472946226,1442970.436198515,865488.9978617091,1442980.3693973431,865496.6712298668,1442974.3910066092,5.289987377317954,865510.0,1442970.0,865490.0,1442990.0,-8397.7216796875,-8401.2802734375,8.264225020576557,9.682602371701725,3.55859375,,26_5.289987377317954
3,26,865500.7904428828,1442963.7404660173,865488.2197243389,1442980.396543503,865494.1744310872,1442972.506616077,8.418074943841836,865510.0,1442960.0,865490.0,1442990.0,-8397.8193359375,-8401.2802734375,9.940172449273138,9.767075207997243,3.4609375,,26_8.418074943841836
4,26,865500.9888698821,1442965.128992633,865483.8026002913,1442980.550639632,865493.5466856866,1442971.807040883,9.358005654048917,865510.0,1442970.0,865480.0,1442990.0,-8397.7216796875,-8400.599609375,10.243396837570744,10.1857832463354,2.8779296875,,26_9.358005654048917
5,26,865500.0254820493,1442958.3875227154,865482.7635993242,1442980.5868862995,865491.0813230665,1442969.8900129348,12.480986442111263,865500.0,1442950.0,865480.0,1442990.0,-8397.6396484375,-8400.599609375,8.387561423667664,9.810412364536122,2.9599609375,,26_12.480986442111263
6,26,865500.2262277863,1442959.7922750907,865478.4811725301,1442980.7362833696,865490.4369199169,1442969.220963252,13.409901345248208,865510.0,1442960.0,865480.0,1442990.0,-8397.8193359375,-8400.599609375,9.775979384374484,9.387400209417452,2.7802734375,,26_13.409901345248208
7,26,865499.2595688725,1442953.0279152282,865477.3236579809,1442980.776664511,865487.9886385903,1442967.2855505792,16.53078321870819,865500.0,1442950.0,865480.0,1442990.0,-8397.6396484375,-8400.599609375,3.117131515266114,9.603786968933921,2.9599609375,,26_16.53078321870819
8,26,865499.4618869472,1442954.443670304,865473.1170215069,1442980.9234175542,865487.3337018377,1442966.6339499254,17.45464769033943,865500.0,1442950.0,865470.0,1442990.0,-8397.6396484375,-8400.1025390625,4.476133535600085,9.596883450845802,2.462890625,,26_17.45464769033943
9,26,865498.4932726619,1442947.6656273974,865471.8915150145,1442980.966170668,865484.8961513031,1442964.6867405947,20.574467682984302,865500.0,1442950.0,865470.0,1442990.0,-8397.6396484375,-8400.1025390625,2.778402908007621,9.229729218746124,2.462890625,,26_20.574467682984302
10,26,865498.6966988398,1442949.0891366138,865467.7334099696,1442981.11123064,865484.233955757,1442964.046440433,21.49560135313922,865500.0,1442950.0,865470.0,1442990.0,-8397.6396484375,-8400.1025390625,1.5900522075148398,9.173202881308347,2.462890625,,26_21.49560135313922
11,26,865497.2634719603,1442942.8778128272,865466.463721386,1442981.1555250934,865481.8037717558,1442962.0910189447,24.6148107844787,865500.0,1442940.0,865470.0,1442990.0,-8397.4541015625,-8400.1025390625,3.971195333971759,9.525229803445626,2.6484375,,26_24.6148107844787
635,26,864609.0676098423,1442699.636207737,864602.8454060133,1442702.1883841702,864605.7471878234,1442700.9981532884,967.5444193176152,864630.0,1442700.0,864630.0,1442700.0,-8340.412109375,-8340.412109375,20.93555116364074,27.242632028832517,0.0,0.018028846153846152,26_967.5444193176152
