,index,Object,X1,Y1,X2,Y2,MidX,MidY,Z1,Z2,,,,,
32,32,1,864809.8786,1439816.21,864838.8883,1439861.589,864824.3831,1439838.899,-8620.708984,-8588.987305,53.85964799,26.92922004,26.93042794,-0.0012079,MID32
33,33,1,864818.9812,1439810.143,864848.2073,1439855.88,864833.5949,1439833.013,-8620.708984,-8588.987305,54.27668827,27.13959417,27.1370941,0.002500068,MID33
34,34,1,864828.0737,1439804.084,864857.5408,1439850.161,864842.8067,1439827.121,-8620.708984,-8588.987305,54.69382302,27.34584994,27.34797308,-0.002123146,MID34
35,35,1,864837.1773,1439798.017,864866.8609,1439844.451,864852.0185,1439821.233,-8643.893555,-8588.987305,55.11090888,27.55430744,27.55660143,-0.002293994,MID35
36,36,1,864846.2787,1439791.951,864876.1818,1439838.74,864861.2302,1439815.345,-8643.893555,-8582.02832,55.52796705,27.76390291,27.76406415,-0.000161238,MID36
37,37,1,864855.3744,1439785.889,864885.5109,1439833.024,864870.442,1439809.456,-8643.893555,-8582.02832,55.94507403,27.97135685,27.97371718,-0.002360325,MID37
38,38,1,864864.4794,1439779.821,864894.827,1439827.316,864879.6538,1439803.569,-8643.893555,-8582.02832,56.362106,28.18213289,28.17997311,0.002159773,MID38
39,39,1,864873.5745,1439773.76,864904.1553,1439821.6,864888.8655,1439797.681,-8643.893555,-8578.276367,56.7791841,28.39071412,28.38846998,0.002244139,MID39
40,40,1,864882.6737,1439767.696,864913.4797,1439815.887,864898.0773,1439791.792,-8643.893555,-8578.276367,57.19626684,28.59924007,28.59702677,0.002213291,MID40
41,41,1,864891.772,1439761.632,864922.8057,1439810.173,864907.2891,1439785.903,-8662.989258,-8578.276367,57.61336621,28.80707075,28.80629546,0.000775287,MID41
42,42,1,864900.8727,1439755.567,864932.1288,1439804.461,864916.5008,1439780.014,-8662.989258,-8578.276367,58.03045303,29.0154601,29.01499292,0.00046718,MID42
43,43,1,864909.9739,1439749.502,864941.4501,1439798.75,864925.7126,1439774.127,-8662.989258,-8578.276367,58.44751524,29.22488383,29.22263141,0.002252418,MID43
44,44,1,864919.0695,1439743.44,864950.7795,1439793.034,864934.9244,1439768.237,-8662.989258,-8578.276367,58.86462702,29.43214387,29.43248316,-0.000339288,MID44
45,47,1,864952.3706,1439726.228,864972.7206,1439779.59,864962.5597,1439752.946,-8668.491211,-8578.276367,57.11081755,28.59497441,28.51584314,0.079131278,MID45
46,48,1,864963.6011,1439724.357,864979.8672,1439775.434,864971.7715,1439750.013,-8668.491211,-8573.84668,53.60451362,26.92515652,26.6793571,0.245799416,MID46
47,49,1,864976.6782,1439722.178,864985.2953,1439774.877,864980.9832,1439748.506,-8668.491211,-8573.84668,53.39910073,26.67775671,26.72134401,-0.043587299,MID47
48,50,1,864986.5904,1439720.527,864993.8001,1439774.005,864990.195,1439747.264,-8668.491211,-8573.84668,53.96251658,26.97958483,26.98293175,-0.003346927,MID48
49,51,1,864995.7711,1439718.997,865003.043,1439773.058,864999.4068,1439746.025,-8668.491211,-8573.84668,54.54754707,27.27163774,27.27590933,-0.004271598,MID49
50,52,1,865004.9461,1439717.469,865012.2916,1439772.11,865008.6185,1439744.787,-8671.010742,-8569.489258,55.13257481,27.56424152,27.56833329,-0.00409177,MID50
51,53,1,865014.1188,1439715.94,865021.5423,1439771.161,865017.8303,1439743.549,-8671.010742,-8569.489258,55.71760272,27.85677695,27.86082577,-0.004048817,MID51
52,54,1,865023.2916,1439714.412,865030.7931,1439770.213,865027.0421,1439742.31,-8671.010742,-8569.489258,56.30263064,28.14931194,28.1533187,-0.004006752,MID52
53,55,1,865032.4644,1439712.884,865040.0438,1439769.264,865036.2539,1439741.072,-8661.605469,-8569.489258,56.88765856,28.4418465,28.44581206,-0.003965564,MID53
54,56,1,865041.6479,1439711.354,865049.2828,1439768.317,865045.4656,1439739.837,-8661.605469,-8569.489258,57.47266004,28.73838806,28.73427199,0.004116071,MID54
